timestamp,predicted_demand_mw,model
2026-09-06 12:00:00,20115.26953125,Weighted_Ensemble
2026-09-06 13:00:00,19769.1796875,Weighted_Ensemble
2026-09-06 14:00:00,19007.208984375,Weighted_Ensemble
2026-09-06 15:00:00,19033.431640625,Weighted_Ensemble
2026-09-06 16:00:00,19840.0439453125,Weighted_Ensemble
2026-09-06 17:00:00,21806.3154296875,Weighted_Ensemble
2026-09-06 18:00:00,22935.81591796875,Weighted_Ensemble
2026-09-06 19:00:00,23484.92236328125,Weighted_Ensemble
2026-09-06 20:00:00,23897.77197265625,Weighted_Ensemble
2026-09-06 21:00:00,23900.654296875,Weighted_Ensemble
2026-09-06 22:00:00,23675.7587890625,Weighted_Ensemble
2026-09-06 23:00:00,23380.416015625,Weighted_Ensemble
2026-09-07 00:00:00,23166.037109375,Weighted_Ensemble
2026-09-07 01:00:00,22856.953125,Weighted_Ensemble
2026-09-07 02:00:00,21673.88671875,Weighted_Ensemble
2026-09-07 03:00:00,20456.6484375,Weighted_Ensemble
2026-09-07 04:00:00,19929.1630859375,Weighted_Ensemble
2026-09-07 05:00:00,19860.4228515625,Weighted_Ensemble
2026-09-07 06:00:00,20791.46435546875,Weighted_Ensemble
2026-09-07 07:00:00,21925.0576171875,Weighted_Ensemble
