model,mae,rmse,mape,r2,cv_rank
XGBoost,834.8121684189038,1111.5527094580289,3.238868210308332,0.9319041094022242,1
Prophet,1140.695715725027,1512.114039153087,4.489713790873475,0.8677409610547377,2
DNN_LSTM,1288.0366051232168,1686.7151722319907,5.097268627176987,0.8350770642492011,3
SARIMAX,1583.3532732342978,2088.5712797185242,6.106632532299654,0.7506061373840284,4
