model,mae,rmse,mape,r2,june_rank
XGBoost,1197.859577094184,1644.1036239249302,5.507708022708294,0.7725706784070596,1
Weighted_Ensemble,1386.9087180061279,1787.0682786642367,6.359322273154644,0.731298324462792,2
Prophet,1402.4868501624358,1835.0841681583538,6.359618146235457,0.7166651083726304,3
DNN_LSTM,2478.296519111192,3036.440936356788,11.306291095035222,0.22425719097633934,4
SARIMAX,10384.861325324542,11351.058530199602,45.26113282362161,-9.840786932887802,5
