model,mean_mae,mean_rmse,mean_mape,mean_r2,std_rmse,worst_fold_rmse,min_fold_r2
XGBoost,834.8121684189038,1111.5527094580289,3.238868210308332,0.9319041094022242,173.08292646555185,1295.1996837672311,0.9070052536786991
Prophet,1138.72995,1508.894475,4.479675,0.86775,156.1496809955409,1722.5748,0.8075
