config_id,fold,params_json,mae,rmse,mape,r2
xgb_config_05,may_2026,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 2, ""subsample"": 0.8}",946.5109913684474,1239.6632636523611,4.3264092259962545,0.8588150723334451
xgb_config_06,aug_2025,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 0.8}",709.3458637852821,982.9873880073696,3.3031039247512677,0.9035827885352925
xgb_config_06,nov_2025,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 0.8}",952.1579505208333,1235.9181452843598,3.2327903147672252,0.9576648541917895
xgb_config_06,feb_2026,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 0.8}",1015.214372907366,1382.6261030749122,3.293819753036068,0.9402180183428256
xgb_config_06,may_2026,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 0.8}",800.6871530577956,1038.367309139102,3.6219717198559036,0.9009435210911624
xgb_config_07,aug_2025,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 1.0}",877.7004653897849,1233.2895545173255,4.123031715806444,0.8482290048490915
xgb_config_07,nov_2025,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 1.0}",1119.3636769748264,1418.5586495647592,3.787416210396053,0.9442279978574889
xgb_config_07,feb_2026,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 1.0}",1195.193350655692,1636.272644035347,3.921438876967203,0.9162717252045307
xgb_config_07,may_2026,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 1.0}",968.1438274949595,1267.9224312914562,4.424427454784176,0.852304846978595
xgb_config_08,aug_2025,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 0.8}",843.5374694430443,1184.521540033247,3.962063925576008,0.8599946600162085
xgb_config_08,nov_2025,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 0.8}",1086.0122392578126,1376.0265209696674,3.7003128941590755,0.9475222444959724
xgb_config_08,feb_2026,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 0.8}",1153.4669799804688,1581.882398269184,3.7779602696860586,0.9217455234743934
xgb_config_08,may_2026,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 0.8}",944.1907202410953,1244.2609735908516,4.319939884316986,0.8577658662818112
