fold,train_rows,valid_rows,fit_seconds,mae,rmse,mape,r2
aug_2025,8760,744,136.10215520858765,1236.0196050204047,1680.7365836950623,5.703128574684416,0.7181240766783166
nov_2025,8760,720,137.37742710113525,1628.1133436483358,2104.923692565181,5.4441416660078,0.8772011340935159
feb_2026,8760,672,135.35407185554504,1852.5255177344006,2480.9318446307357,5.9123829667566286,0.8075178457607124
may_2026,8760,744,130.81762528419495,1616.7546265340493,2087.692997983118,7.366876921749774,0.5995814930035689
